web-scraper-order,web-scraper-start-url,autoscout24,autoscout24-href,description_raw,price_raw,mileage_raw,fuel_type_raw,location_raw
"1733470844-19","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=78","","https://www.autoscout24.ch/de/d/mercedes-benz-marco-polo-300-d-4m-a-11420314","MERCEDES-BENZ Marco Polo 300 d 4M A","CHF 84'500.–","29'000 km","Diesel","Via Mondari 7, 6512 Giubiasco - Riazzino"
"1733470846-20","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=78","","https://www.autoscout24.ch/de/d/caretta-basoglu-11627240","CARETTA Basoglu","CHF 9'800.–","10'000 km","-","Industriestrasse 221 A, 7408 Cazis"
"1733470849-21","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=78","","https://www.autoscout24.ch/de/d/fiat-ducato-11925034","FIAT Ducato","CHF 11'800.–","215'456 km","Diesel","Schachenstrasse 8, 5014 Gretzenbach"
"1733470851-22","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=78","","https://www.autoscout24.ch/de/d/vw-typ-2-reimo-11174270","VW Typ 2 / Reimo","CHF 14'900.–","152'000 km","Diesel","Industriestrasse 7, 2553 Safnern"
"1733470853-23","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=78","","https://www.autoscout24.ch/de/d/tischer-wohnkabine-11675561","TISCHER Wohnkabine","CHF 7'900.–","20'000 km","-","Dorf 10, 9127 St. Peterzell"
"1733470856-24","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=78","","https://www.autoscout24.ch/de/d/vw-garthego-11409881","VW Garthego","CHF 3'990.–","295'000 km","Diesel","Industriestrasse 6, 8604 Volketswil"
"1733470858-25","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=78","","https://www.autoscout24.ch/de/d/vw-t61-california-20-tdi-ocean-liberty-11720688","VW T6.1 California 2.0 TDI Ocean Liberty","CHF 58'890.–","16'800 km","Diesel","St. Gallerstrasse 99, 9032 Engelburg"
"1733470860-26","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=78","","https://www.autoscout24.ch/de/d/mercedes-benz-marco-polo-horizon-250-d-4matic-7g-tronic-11792139","MERCEDES-BENZ Marco Polo Horizon 250 d 4Matic 7G-Tronic","CHF 55'900.–","79'249 km","Diesel","Brühlmatten 7 , ( Industriezone Brühl ), 4800 Zofingen"
"1733470863-27","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=78","","https://www.autoscout24.ch/de/d/burstner-11839714","BÜRSTNER","CHF 39'990.–","69'980 km","Diesel","1350 Orbe"
"1733470865-28","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=78","","https://www.autoscout24.ch/de/d/hymer-fiat-hymer-t654-11939044","HYMER Fiat Hymer T654","CHF 46'000.–","37'759 km","Diesel","Spisi 9, 1714 Heitenried"
"1733470867-29","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=78","","https://www.autoscout24.ch/de/d/peugeot-boxer-11355281","PEUGEOT BOXER","CHF 6'000.–","213'900 km","Diesel","Solothurnstrasse 75, 2543 Lengnau"
"1733470870-30","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=78","","https://www.autoscout24.ch/de/d/peugeot-boxer-11419661","PEUGEOT BOXER","CHF 5'999.–","295'100 km","Diesel","Hauptstrasse 92 a, 9430 St.Margrethen"
"1733470872-31","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=78","","https://www.autoscout24.ch/de/d/westfalia-big-nugget-ford-transit-22-tdci-dusche-wc-11911989","WESTFALIA *** .BIG NUGGET - Ford Transit 2.2 TDCi - DUSCHE - WC -  ***","CHF 14'700.–","290'000 km","Diesel","Kriesbachstrasse 7, 8304 Wallisellen"
"1733470874-32","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=78","","https://www.autoscout24.ch/de/d/fiat-280-alko-ab-mfk-and-gasprufung-11648256","FIAT 280 ALKO - ab MFK & Gasprüfung","CHF 16'900.–","101'532 km","-","Steigstrasse 26, 8406 Winterthur"
"1733470880-33","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=77","","https://www.autoscout24.ch/de/d/mercedes-benz-marco-polo-250-d-4m-a-10993101","MERCEDES-BENZ Marco Polo 250 d  4M A","CHF 78'900.–","15'000 km","Diesel","Güterstrasse 99, 4133 Pratteln"
"1733470882-34","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=77","","https://www.autoscout24.ch/de/d/vw-grand-california-600-20-bi-tdi-11740835","VW Grand California 600 2.0 BI-TDI","CHF 69'000.–","12'000 km","Diesel","Landstrasse 62, 5426 Lengnau"
"1733470884-35","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=77","","https://www.autoscout24.ch/de/d/challenger-11837740","CHALLENGER","CHF 20'000.–","139'982 km","Diesel","Lerchenweg 14. Oder Läufelfingen ramsachstrasse 26, 4538 Oberbipp"
"1733470887-36","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=77","","https://www.autoscout24.ch/de/d/vw-original-vanagon-camper-automat-hubdach-kuche-11693247","VW Original VANAGON CAMPER Automat Hubdach küche","CHF 7'700.–","125'000 km","Benzin","2556 Schwadernau"
"1733470889-37","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=77","","https://www.autoscout24.ch/de/d/mercedes-benz-316-cdi-11851949","MERCEDES-BENZ 316 CDI","CHF 8'600.–","223'000 km","Diesel","Riedackerweg 14, 8107 Buchs"
"1733470892-38","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=77","","https://www.autoscout24.ch/de/d/peugeot-leichter-mototwagen-11864186","PEUGEOT Leichter Mototwagen","CHF 3'500.–","175'500 km","Diesel","Kantonsstrasse 331, 3900 Gamsen"
"1733470895-39","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=77","","https://www.autoscout24.ch/de/d/citroen-wohnmobil-11942712","CITROEN Wohnmobil","CHF 39'300.–","110'000 km","Diesel","Zürcherstrasse 42, 5330 Bad Zurzach"
"1733470899-40","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=77","","https://www.autoscout24.ch/de/d/niesmann-bischoff-ismove-69-e-11957223","NIESMANN + BISCHOFF iSmove 6.9 E","CHF 109'000.–","25'300 km","Diesel","Bernstrasse 115, 3613 Steffisburg"
"1733470901-41","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=77","","https://www.autoscout24.ch/de/d/fiat-adria-sun-living-a70dk-ab-mfk-and-gasprufung-11782426","FIAT Adria Sun Living A70DK - ab MFK & Gasprüfung","CHF 49'900.–","20'552 km","Diesel","Steigstrasse 26, 8406 Winterthur"
