web-scraper-order,description_raw,price_raw,mileage_raw,fuel_type_raw,location_raw,price,mileage,fuel_type_Diesel,price_cat,mileage_cat,lat,lon
1733470796-1,MERCEDES-BENZ Camper,CHF 15'900.–,265'000 km,Diesel,"Mittelstrasse 38, 3613 Steffisburg",15900,265000,1,0 - 19999,mid-high,46.767906188964844,7.615882396697998
1733470799-2,CARADO I 449 Édition 15 Fiat Capron 169L/1449,CHF 71'900.–,14'000 km,Diesel,"Zone industrielle Les Portettes 2c, 1312 Eclépens",71900,14000,1,50000 - 99999,low,46.655277252197266,6.553426742553711
1733470801-3,DETHLEFFS Fiat Ducato,CHF 37'800.–,90'000 km,Diesel,"Rte du St-Bernard 8, 1937 Orsières",37800,90000,1,20000 - 49999,low-mid,46.03584671020508,7.146042823791504
1733470805-4,FIAT Euro Master Wohnmobil,CHF 19'900.–,187'236 km,Diesel,"Badenerstrasse 84, 8952 Schlieren",19900,187236,1,0 - 19999,mid,47.39728546142578,8.434126853942871
1733470807-5,VW T6.1 California 2.0 TDI Ocean Edition Liberty 4Motion,CHF 84'500.–,16'500 km,Diesel,8852 Altendorf,84500,16500,1,50000 - 99999,low,47.16980743408203,8.801252365112305
1733470809-6,"VW T6.1 Knaus Tourer Van 500 MW, MEGA Ausstattung, EUROPREISVORTEIL !!! 635kg Zuladung",CHF 69'900.–,11'000 km,Diesel,8852 Altendorf,69900,11000,1,50000 - 99999,low,47.16980743408203,8.801252365112305
1733470812-7,VW T6.1 California 2.0 TDI Ocean Liberty,CHF 56'500.–,45'000 km,Diesel,"Güterstrasse 37, 9444 Diepoldsau",56500,45000,1,50000 - 99999,low,47.39250183105469,9.650969505310059
1733470815-8,HYMER BMC 580-I,CHF 115'800.–,12'200 km,Diesel,"Büelhalde 4, 8317 Tagelswangen",115800,12200,1,100000 - 199999,low,47.42753982543945,8.673209190368652
1733470818-9,VW T6 California 2.0 TDI BULLI Beach Edition 4Motion,CHF 51'900.–,83'000 km,Diesel,"Birmensdorferstrasse 18, 8902 Urdorf",51900,83000,1,50000 - 99999,low-mid,47.39269256591797,8.41797161102295
1733470820-10,MERCEDES-BENZ Marco Polo 250 d 7G-Tronic,CHF 49'900.–,113'000 km,Diesel,"Neumatt 10, 4626 Niederbuchsiten",49900,113000,1,20000 - 49999,mid,47.2994270324707,7.768882751464844
1733470825-12,FORD Nugget,CHF 49'900.–,23'500 km,Diesel,"Hardstrasse 78, 4657 Dulliken",49900,23500,1,20000 - 49999,low,47.349239349365234,7.9577460289001465
1733470830-13,FIAT ***  Pilote Aventura T670 - Fiat Ducato 2.3 131PS ***,CHF 28'900.–,140'000 km,Diesel,"Kriesbachstrasse 7, 8304 Wallisellen",28900,140000,1,20000 - 49999,mid,47.409698486328125,8.61287784576416
1733470834-15,FIAT Trigano granduca 64,CHF 15'999.–,105'000 km,Diesel,2556 Schwadernau,15999,105000,1,0 - 19999,mid,47.11965560913086,7.325146675109863
1733470839-17,VW T4,CHF 6'800.–,241'912 km,Benzin,"Schachenstrasse 8, 5014 Gretzenbach",6800,241912,0,0 - 19999,mid-high,47.359962463378906,7.9829511642456055
1733470842-18,FIAT *** FAMILIEN WOHNMOBIL - MCLOUIS ALKOVEN - KAJÜTENBETTEN - KLIMA - TEMPOMAT  ***,CHF 28'700.–,86'000 km,Diesel,"Kriesbachstrasse 7, 8304 Wallisellen",28700,86000,1,20000 - 49999,low-mid,47.409698486328125,8.61287784576416
1733470849-21,FIAT Ducato,CHF 11'800.–,215'456 km,Diesel,"Schachenstrasse 8, 5014 Gretzenbach",11800,215456,1,0 - 19999,mid-high,47.15525436401367,7.330783367156982
1733470851-22,VW Typ 2 / Reimo,CHF 14'900.–,152'000 km,Diesel,"Industriestrasse 7, 2553 Safnern",14900,152000,1,0 - 19999,mid,47.382022857666016,8.666350364685059
1733470858-25,VW T6.1 California 2.0 TDI Ocean Liberty,CHF 58'890.–,16'800 km,Diesel,"St. Gallerstrasse 99, 9032 Engelburg",58890,16800,1,50000 - 99999,low,46.73106002807617,6.534222602844238
1733470860-26,MERCEDES-BENZ Marco Polo Horizon 250 d 4Matic 7G-Tronic,CHF 55'900.–,79'249 km,Diesel,"Brühlmatten 7 , ( Industriezone Brühl ), 4800 Zofingen",55900,79249,1,50000 - 99999,low-mid,46.82259750366211,7.301876544952393
1733470863-27,BÜRSTNER,CHF 39'990.–,69'980 km,Diesel,1350 Orbe,39990,69980,1,20000 - 49999,low-mid,47.18526840209961,7.377481460571289
1733470867-29,PEUGEOT BOXER,CHF 6'000.–,213'900 km,Diesel,"Solothurnstrasse 75, 2543 Lengnau",6000,213900,1,0 - 19999,mid-high,47.409698486328125,8.61287784576416
1733470870-30,PEUGEOT BOXER,CHF 5'999.–,295'100 km,Diesel,"Hauptstrasse 92 a, 9430 St.Margrethen",5999,295100,1,0 - 19999,mid-high,47.52214813232422,7.672452449798584
1733470872-31,WESTFALIA *** .BIG NUGGET - Ford Transit 2.2 TDCi - DUSCHE - WC -  ***,CHF 14'700.–,290'000 km,Diesel,"Kriesbachstrasse 7, 8304 Wallisellen",14700,290000,1,0 - 19999,mid-high,47.525123596191406,8.323613166809082
1733470880-33,MERCEDES-BENZ Marco Polo 250 d  4M A,CHF 78'900.–,15'000 km,Diesel,"Güterstrasse 99, 4133 Pratteln",78900,15000,1,50000 - 99999,low,47.11965560913086,7.325146675109863
